id,CVE,CVSS
199,CVE-2007-0038,9.3
200,CVE-2007-0263,7.1
201,CVE-2007-0437,3.5
202,CVE-2007-0516,4.9
203,CVE-2007-0612,7.8
204,CVE-2007-0707,6.8
205,CVE-2007-0759,7.5
206,CVE-2007-0798,4.3
207,CVE-2007-0942,9.3
208,CVE-2007-0944,9.3
209,CVE-2007-0945,9.3
210,CVE-2007-0982,4.3
211,CVE-2007-1240,4.3
212,CVE-2007-1241,5.8
213,CVE-2007-1258,6.1
214,CVE-2007-1300,7.8
215,CVE-2007-1321,7.2
216,CVE-2007-1325,7.1
217,CVE-2007-1370,6.2
218,CVE-2007-1542,5.0
219,CVE-2007-1721,10.0
220,CVE-2007-1732,3.5
221,CVE-2007-1765,9.3
222,CVE-2007-1795,10.0
223,CVE-2007-1884,6.8
224,CVE-2007-2101,10.0
225,CVE-2007-2221,9.3
226,CVE-2007-2312,7.5
227,CVE-2007-2362,9.0
228,CVE-2007-2364,7.5
229,CVE-2007-2423,5.8
230,CVE-2007-2508,10.0
231,CVE-2007-2582,10.0
232,CVE-2007-2892,4.3
233,CVE-2007-2905,7.5
234,CVE-2007-3091,7.1
235,CVE-2007-3127,5.0
236,CVE-2007-3217,7.5
237,CVE-2007-3250,7.5
238,CVE-2007-3344,4.3
239,CVE-2007-3356,7.8
240,CVE-2007-3367,7.8
241,CVE-2007-3525,7.8
242,CVE-2007-3543,6.0
243,CVE-2007-3651,4.3
244,CVE-2007-3838,2.6
245,CVE-2007-3839,4.0
246,CVE-2007-3924,9.3
247,CVE-2007-3991,4.3
248,CVE-2007-4011,7.1
249,CVE-2007-4052,4.3
250,CVE-2007-4090,4.3
251,CVE-2007-4146,4.3
252,CVE-2007-4150,10.0
253,CVE-2007-4153,2.1
254,CVE-2007-4186,6.8
255,CVE-2007-4218,10.0
256,CVE-2007-4229,4.3
257,CVE-2007-4275,6.9
258,CVE-2007-4293,7.1
259,CVE-2007-4319,4.0
260,CVE-2007-4375,5.8
261,CVE-2007-4426,5.0
262,CVE-2007-4445,7.5
263,CVE-2007-4447,7.5
264,CVE-2007-4459,7.1
265,CVE-2007-4485,6.8
266,CVE-2007-4529,8.5
267,CVE-2007-4588,4.3
268,CVE-2007-4642,10.0
269,CVE-2007-4648,7.2
270,CVE-2007-4650,6.4
271,CVE-2007-4946,5.0
272,CVE-2007-5129,5.0
273,CVE-2007-5146,6.8
274,CVE-2007-5212,4.3
275,CVE-2007-5318,5.0
276,CVE-2007-5402,6.5
277,CVE-2007-5416,6.8
278,CVE-2007-5589,4.3
279,CVE-2007-5629,4.3
280,CVE-2007-5687,9.3
281,CVE-2007-5824,7.1
282,CVE-2007-5894,9.3
283,CVE-2007-5931,5.0
284,CVE-2007-6082,9.3
285,CVE-2007-6090,4.3
286,CVE-2007-6103,5.0
287,CVE-2007-6191,6.8
288,CVE-2007-6218,5.0
289,CVE-2007-6221,7.8
290,CVE-2007-6306,4.3
291,CVE-2007-6497,7.5
292,CVE-2007-6502,5.5
293,CVE-2007-6510,6.8
294,CVE-2007-6552,6.0
295,CVE-2007-6581,6.4
296,CVE-2007-6626,7.5
297,CVE-2007-6633,4.3
298,CVE-2007-6700,4.3
299,CVE-2007-6755,5.8
300,CVE-2007-6762,9.8
301,CVE-2008-0085,5.0
302,CVE-2008-0094,6.4
303,CVE-2008-0096,7.5
304,CVE-2008-0107,9.0
305,CVE-2008-0124,4.3
306,CVE-2008-0196,5.0
307,CVE-2008-0218,4.3
308,CVE-2008-0383,7.5
309,CVE-2008-0405,10.0
310,CVE-2008-0420,9.3
311,CVE-2008-0451,7.5
312,CVE-2008-0475,5.0
313,CVE-2008-0494,4.3
314,CVE-2008-0504,6.5
315,CVE-2008-0508,6.8
316,CVE-2008-0559,5.0
317,CVE-2008-0700,4.3
318,CVE-2008-0939,7.5
319,CVE-2008-0974,5.0
320,CVE-2008-1035,4.3
321,CVE-2008-1065,7.5
322,CVE-2008-1147,6.8
323,CVE-2008-1168,4.3
324,CVE-2008-1249,9.4
325,CVE-2008-1273,4.3
326,CVE-2008-1289,7.5
327,CVE-2008-1296,4.3
328,CVE-2008-1311,5.0
329,CVE-2008-1326,4.3
330,CVE-2008-1327,7.5
331,CVE-2008-1341,7.5
332,CVE-2008-1355,4.3
333,CVE-2008-1371,3.6
334,CVE-2008-1447,6.8
335,CVE-2008-1481,4.3
336,CVE-2008-1511,7.5
337,CVE-2008-1528,4.0
338,CVE-2008-1621,4.3
339,CVE-2008-1736,7.2
340,CVE-2008-1787,4.3
341,CVE-2008-1816,5.5
342,CVE-2008-1817,9.0
343,CVE-2008-1969,3.5
344,CVE-2008-1988,9.0
345,CVE-2008-2030,4.3
346,CVE-2008-2227,6.8
347,CVE-2008-2280,4.3
348,CVE-2008-2357,6.8
349,CVE-2008-2426,9.3
350,CVE-2008-2725,7.8
351,CVE-2008-2726,7.8
352,CVE-2008-2952,5.0
353,CVE-2008-3058,7.5
354,CVE-2008-3201,4.3
355,CVE-2008-3202,4.3
356,CVE-2008-3243,4.3
357,CVE-2008-3286,5.0
358,CVE-2008-3312,6.8
359,CVE-2008-3341,7.5
360,CVE-2008-3354,7.5
361,CVE-2008-3395,5.0
362,CVE-2008-3559,4.3
363,CVE-2008-3562,5.1
364,CVE-2008-3565,4.3
365,CVE-2008-3566,4.3
366,CVE-2008-3579,7.8
367,CVE-2008-3615,9.3
368,CVE-2008-3668,4.3
369,CVE-2008-3707,7.5
370,CVE-2008-3709,4.3
371,CVE-2008-3722,7.5
372,CVE-2008-3957,9.3
373,CVE-2008-4051,4.3
374,CVE-2008-4056,4.3
375,CVE-2008-4101,9.3
376,CVE-2008-4311,4.6
377,CVE-2008-4424,4.3
378,CVE-2008-4438,4.3
379,CVE-2008-4439,10.0
380,CVE-2008-4560,7.8
381,CVE-2008-4669,4.3
382,CVE-2008-4670,4.3
383,CVE-2008-4672,4.3
384,CVE-2008-4761,4.3
385,CVE-2008-4766,7.5
386,CVE-2008-4768,7.5
387,CVE-2008-4805,4.3
388,CVE-2008-4806,7.5
389,CVE-2008-4807,2.1
390,CVE-2008-4808,5.0
391,CVE-2008-4809,10.0
392,CVE-2008-4810,7.5
393,CVE-2008-4813,9.3
394,CVE-2008-4927,4.3
395,CVE-2008-4996,6.9
396,CVE-2008-5005,10.0
397,CVE-2008-5057,7.5
398,CVE-2008-5060,10.0
399,CVE-2008-5172,4.3
400,CVE-2008-5177,10.0
401,CVE-2008-5232,9.3
402,CVE-2008-5274,5.0
403,CVE-2008-5424,4.3
404,CVE-2008-5425,4.3
405,CVE-2008-5426,4.3
406,CVE-2008-5427,4.3
407,CVE-2008-5428,4.3
408,CVE-2008-5429,4.3
409,CVE-2008-5430,4.3
